1 Ağustos 2008 Cuma  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '23°C', '23°C', '9 Km/h', 'N/A', '78%', '19°C', '1017,0mb', '', 'Açık']
['01:50', '22°C', '22°C', '11 Km/h', 'N/A', '83%', '19°C', '1017,0mb', '', 'Açık']
['03:50', '22°C', '22°C', '11 Km/h', 'N/A', '83%', '19°C', '1017,0mb', '', 'Açık']
['04:50', '19°C', '19°C', '7 Km/h', 'N/A', '100%', '19°C', '1017,0mb', '', 'Açık']
['05:50', '20°C', '20°C', '7 Km/h', 'N/A', '94%', '19°C', '1017,0mb', '', 'Açık']
['06:50', '21°C', '21°C', '9 Km/h', 'N/A', '88%', '19°C', '1017,0mb', '', 'Az bulutlu']
['07:50', '24°C', '25°C', '9 Km/h', 'N/A', '78%', '20°C', '1017,0mb', '', 'Az bulutlu']
['08:50', '24°C', '24°C', '11 Km/h', 'N/A', '74%', '19°C', '1017,0mb', '', 'Az bulutlu']
['09:50', '26°C', '27°C', '11 Km/h', 'N/A', '61%', '18°C', '1017,0mb', '', 'Az bulutlu']
['10:50', '27°C', '27°C', '17 Km/h', 'N/A', '48%', '15°C', '1017,0mb', '', 'Az bulutlu']
['11:50', '28°C', '27°C', '22 Km/h', 'N/A', '37%', '12°C', '1017,0mb', '', 'Az bulutlu']
['12:50', '29°C', '28°C', '26 Km/h', 'N/A', '35%', '12°C', '1017,0mb', '', 'Az bulutlu']
['13:50', '29°C', '28°C', '22 Km/h', 'N/A', '35%', '12°C', '1016,0mb', '', 'Az bulutlu']
['14:50', '29°C', '28°C', '24 Km/h', 'N/A', '35%', '12°C', '1016,0mb', '', 'Az bulutlu']
['15:50', '28°C', '28°C', '22 Km/h', 'N/A', '40%', '13°C', '1016,0mb', '', 'Az bulutlu']
['16:50', '28°C', '28°C', '26 Km/h', 'N/A', '42%', '14°C', '1016,0mb', '', 'Az bulutlu']
['17:50', '27°C', '27°C', '30 Km/h', 'N/A', '51%', '16°C', '1016,0mb', '', 'Az bulutlu']
['18:50', '26°C', '27°C', '24 Km/h', 'N/A', '61%', '18°C', '1016,0mb', '', 'Az bulutlu']
['19:50', '25°C', '25°C', '22 Km/h', 'N/A', '69%', '19°C', '1016,0mb', '', 'Az bulutlu']
['20:50', '24°C', '24°C', '19 Km/h', 'N/A', '74%', '19°C', '1017,0mb', '', 'Az bulutlu']
['21:50', '24°C', '25°C', '15 Km/h', 'N/A', '78%', '20°C', '1017,0mb', '', 'Az bulutlu']
['22:50', '23°C', '24°C', '11 Km/h', 'N/A', '83%', '20°C', '1017,0mb', '', 'Az bulutlu']
2 Ağustos 2008 Cumartesi  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '24°C', '24°C', '6 Km/h', 'N/A', '74%', '19°C', '1017,0mb', '', 'Açık']
['01:50', '23°C', '23°C', 'Değişken da/de 2 Km/h', 'N/A', '78%', '19°C', '1016,0mb', '', 'Açık']
['02:50', '21°C', '21°C', '4 Km/h', 'N/A', '88%', '19°C', '1016,0mb', '', 'Açık']
['03:50', '20°C', '20°C', '6 Km/h', 'N/A', '94%', '19°C', '1016,0mb', '', 'Açık']
['04:50', '20°C', '20°C', '4 Km/h', 'N/A', '94%', '19°C', '1016,0mb', '', 'Açık']
['05:50', '18°C', '18°C', '4 Km/h', 'N/A', '100%', '18°C', '1016,0mb', '', 'Açık']
['07:50', '19°C', '19°C', '4 Km/h', 'N/A', '100%', '19°C', '1016,0mb', '', 'Açık']
['08:50', '22°C', '23°C', '7 Km/h', 'N/A', '94%', '21°C', '1017,0mb', '', 'Açık']
['09:50', '25°C', '25°C', '15 Km/h', 'N/A', '57%', '16°C', '1016,0mb', '', 'Açık']
['10:50', '27°C', '27°C', '20 Km/h', 'N/A', '42%', '13°C', '1016,0mb', '', 'Açık']
['11:50', '28°C', '27°C', '15 Km/h', 'N/A', '35%', '11°C', '1016,0mb', '', 'Az bulutlu']
['12:50', '28°C', '27°C', '22 Km/h', 'N/A', '37%', '12°C', '1016,0mb', '', 'Az bulutlu']
['13:50', '29°C', '29°C', '22 Km/h', 'N/A', '45%', '16°C', '1016,0mb', '', 'Az bulutlu']
['14:50', '28°C', '29°C', '24 Km/h', 'N/A', '51%', '17°C', '1016,0mb', '', 'Az bulutlu']
['15:50', '28°C', '29°C', '26 Km/h', 'N/A', '51%', '17°C', '1015,0mb', '', 'Az bulutlu']
['16:50', '28°C', '29°C', '28 Km/h', 'N/A', '55%', '18°C', '1015,0mb', '', 'Az bulutlu']
['17:50', '27°C', '28°C', '30 Km/h', 'N/A', '54%', '17°C', '1015,0mb', '', 'Az bulutlu']
['18:50', '27°C', '27°C', '20 Km/h', 'N/A', '48%', '15°C', '1015,0mb', '', 'Az bulutlu']
['19:50', '26°C', '26°C', '19 Km/h', 'N/A', '45%', '13°C', '1015,0mb', '', 'Az bulutlu']
['20:50', '24°C', '24°C', '13 Km/h', 'N/A', '57%', '15°C', '1016,0mb', '', 'Az bulutlu']
['21:50', '23°C', '23°C', '11 Km/h', 'N/A', '74%', '18°C', '1016,0mb', '', 'Açık']
['22:50', '23°C', '23°C', '9 Km/h', 'N/A', '69%', '17°C', '1016,0mb', '', 'Açık']
['23:50', '22°C', '22°C', '9 Km/h', 'N/A', '69%', '16°C', '1016,0mb', '', 'Açık']
3 Ağustos 2008 Pazar  
['Saat', 'Sıcaklık', 'Hissedilir Sıcaklık', 'Rüzgar', 'Rüzgarın Şiddeti', 'Bağıl Nem', 'Çiğ oluşma derecesi', 'Basınç', 'Simge', 'TarifAyrıntılar']
['00:50', '22°C', '22°C', '11 Km/h', 'N/A', '65%', '15°C', '1016,0mb', '', 'Açık']
['01:50', '22°C', '22°C', '11 Km/h', 'N/A', '65%', '15°C', '1015,0mb', '', 'Açık']
['02:50', '22°C', '22°C', '13 Km/h', 'N/A', '61%', '14°C', '1015,0mb', '', 'Açık']
['03:50', '19°C', '19°C', '9 Km/h', 'N/A', '78%', '15°C', '1015,0mb', '', 'Açık']
['04:50', '18°C', '18°C', '7 Km/h', 'N/A', '83%', '15°C', '1015,0mb', '', 'Açık']
['05:50', '18°C', '18°C', '7 Km/h', 'N/A', '83%', '15°C', '1014,0mb', '', 'Açık']
['06:50', '17°C', '17°C', '7 Km/h', 'N/A', '88%', '15°C', '1014,0mb', '', 'Açık']
['07:50', '20°C', '20°C', '4 Km/h', 'N/A', '83%', '17°C', '1014,0mb', '', 'Açık']
['08:50', '24°C', '24°C', '11 Km/h', 'N/A', '57%', '15°C', '1014,0mb', '', 'Açık']
['09:50', '25°C', '25°C', '20 Km/h', 'N/A', '54%', '15°C', '1014,0mb', '', 'Açık']
['10:50', '26°C', '26°C', '17 Km/h', 'N/A', '54%', '16°C', '1014,0mb', '', 'Az bulutlu']
['11:50', '27°C', '27°C', '17 Km/h', 'N/A', '51%', '16°C', '1014,0mb', '', 'Az bulutlu']
['12:50', '27°C', '27°C', '20 Km/h', 'N/A', '48%', '15°C', '1013,0mb', '', 'Az bulutlu']
['13:50', '29°C', '28°C', '15 Km/h', 'N/A', '31%', '10°C', '1013,0mb', '', 'Az bulutlu']
['14:50', '29°C', '29°C', '24 Km/h', 'N/A', '43%', '15°C', '1013,0mb', '', 'Az bulutlu']
['15:50', '28°C', '28°C', '22 Km/h', 'N/A', '48%', '16°C', '1012,0mb', '', 'Az bulutlu']
